"","PROVINCE","urban","age","gender","I1_3_1","party","army","sec_lan","f_b_hukou","f_n_hukou","m_b_hukou","m_n_hukou","b_hukou","n_hukou","local_hukou","migrant_hukou","cungaiju","u_w_m","u_c_m","r_m","p_m","uint_add_m","br_m","bus_m","I1_20_1","I1_20_2","n_r_o_i","I1_20_4","I1_20_5","I1_21","I1_22_1","I1_22_2","I1_22_3","tech_edu","I2_10","work_exp","I3a1_1","I3a1_2","I3a1_5","I3a1_9","I3a1_14","I3a1_16_1","I3a1_16_2","I3a1_16_3","I3a1_19_1","I3a1_19_2","I3a1_19_3","I3a1_20_1","I3a1_20_2","I3a1_20_3","I3a1_20_4","I3a1_20_5","I3a1_20_7","I3a1_20_8","I3a1_20_9","I3a1_21","I3a2_1","friend","psychofriend","discussfriend","moneyfriend","memberelect","happy","happycp","I7_7_1","I7_7_2","I7_9","soccls","b_soccls","I7_10_3_1","t_soccls","soctrs","I9_1","I9_2","arm","health","I9_5","I9_6","ill","I9_8","I9_9","I9_10","I9_11","I9_12","I9_14","interviewway","reject","impat","itviewer_trust","fudge","colla","rely","lang","sinitviewer","look","sinitviewee","rtype_u","belief","edu","fedu","medu","jobmean","dinner","socresp","localsc","comlk","plan","u","d"
"1",440000,0,27,0,440000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,4,4,1,3,3,7,7,9,6,3,150,92,155,2,1,1,0,0,2,2,3,0,0,1,4,3,3,3,3,3,2,1,7,0,1,0,2,1,1,-0.94632351398468,0.144271776080132,0.239654049277306,1,-0.0981605499982834,1,0.000148745501064695,1
"2",360000,1,50,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,4,4,4,2,3,4,6,4,7,4,3,156,112,156,1,1,1,0,0,0,2,3,0,0,1,4,4,3,4,4,3,1,1,7,0,1,0,3,1,1,NA,-0.466511011123657,0.934704720973969,1,0.66414999961853,8,0.000242213369347155,1
"3",340000,0,45,1,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,2,3,3,1,2,3,3,3,NA,NA,NA,NA,NA,1,NA,5,2,2,2,4,4,4,2,4,2,3,2,5,2,3,168,142,167,3,3,1,1,0,0,3,3,1,0,1,4,4,3,4,3,3,1,1,6,1,1,0,NA,1,1,0.180414721369743,-0.922452747821808,-1.12658035755157,0,-0.198245003819466,2,0.000336434866767377,1
"4",420000,0,59,1,420000,0,0,0,1,4,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,3,4,1,5,4,5,5,5,1,3,170,130,167,2,1,1,0,0,NA,2,2,1,1,1,4,3,4,2,4,3,1,1,5,1,1,0,1,2,1,0.78997415304184,-0.922452747821808,0.239654049277306,1,-0.578151047229767,8,0.000432350992923602,1
"5",5e+05,1,54,0,5e+05,0,0,0,1,4,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,5,5,1,4,4,5,4,8,2,3,154,115,148,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,0,7,0,0,0,3,1,1,0.78997415304184,0.376478165388107,0.239654049277306,1,0.281745463609695,1,0.000536665378604084,1
"6",510000,0,40,1,510000,0,0,0,1,4,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,1,1,1,3,3,3,1,5,1,3,172,130,172,2,2,2,0,0,30,3,3,1,1,1,4,4,4,4,4,4,2,1,6,1,1,0,1,1,1,-0.803331911563873,1.21099627017975,-1.91544628143311,0,0.186658024787903,2,0.000680968689266592,1
"7",140000,1,64,0,370000,0,0,0,1,4,1,4,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,6,6,1,5,4,6,4,7,6,3,155,100,155,3,3,3,1,0,NA,3,2,0,0,1,4,4,4,4,4,4,1,0,9,0,0,0,2,2,1,1.79561054706573,1.21099627017975,0.239654049277306,1,0.281745463609695,10,0.000768791069276631,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.000879827537573874,1
"9",620000,0,23,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,6,6,2,3,5,5,5,8,5,2,168,110,148,2,2,3,0,1,0,3,2,0,0,1,4,4,4,4,4,4,1,1,6,1,0,0,3,2,1,-0.612743198871613,1.33246529102325,-1.22039556503296,1,-0.0931635424494743,1,0.000993763445876539,1
"10",620000,0,19,1,620000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,6,6,1,3,3,6,2,10,4,2,171,120,170,2,3,1,0,1,0,3,3,0,0,1,4,4,3,3,3,3,1,1,NA,0,0,0,3,3,1,NA,NA,-2.68044519424438,1,-0.578151047229767,2,0.00115704676136374,1
"11",320000,0,61,0,340000,0,0,0,4,4,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,4,3,2,1,1,1,1,3,166,130,166,4,2,2,0,0,0,2,2,0,0,1,4,4,3,3,3,3,1,1,3,0,1,0,1,1,1,0.607882559299469,-0.922452747821808,0.239654049277306,1,-1.24037706851959,8,0.00122734240721911,1
"12",360000,1,43,1,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,3,3,3,3,3,3,3,3,3,2,165,126,165,3,3,3,0,0,0,2,2,0,1,1,4,3,3,3,3,3,3,1,5,0,1,0,3,1,1,-0.94632351398468,-0.922452747821808,-1.24426257610321,0,1.90645098686218,8,0.00136524578556418,1
"13",440000,1,50,0,440000,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,5,5,1,3,3,5,5,7,4,3,156,150,150,2,1,1,0,0,0,3,3,0,0,1,4,2,3,2,3,3,1,1,6,0,1,0,3,1,1,-0.30919349193573,NA,0.239654049277306,1,-1.33796310424805,8,0.00139968888834119,1
"14",110000,1,49,0,110000,0,0,0,4,4,4,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,NA,NA,NA,4,4,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,3,2,2,3,1,5,5,NA,NA,3,0,0,0,0,3,158,108,160,3,1,1,1,0,0,2,2,0,0,1,4,4,3,4,4,4,1,0,NA,1,1,0,3,1,1,NA,NA,NA,0,-0.0981605499982834,7,0.00140449439641088,1
"15",320000,0,51,0,320000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,4,6,5,2,3,4,8,6,8,3,3,153,106,150,2,1,1,0,0,0,5,2,0,0,1,4,4,3,3,3,3,1,0,6,0,1,0,2,1,1,-0.505819320678711,-0.922452747821808,0.239654049277306,1,1.52654492855072,8,0.00146367191337049,1
"16",130000,1,47,1,130000,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,3,2,1,5,4,0,7,0,6,3,170,150,160,3,5,1,0,0,0,2,3,1,0,1,4,4,4,4,4,4,2,1,4,1,1,0,1,NA,2,-0.362827777862549,-0.112157203257084,-0.525344908237457,1,-0.478066563606262,1,0.00158496876247227,1
"17",440000,0,52,1,440000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,3,3,4,4,2,5,5,6,1,3,175,151,173,3,1,4,0,0,0,3,2,1,1,1,4,4,3,3,3,3,2,1,8,0,1,1,1,2,1,-0.888365983963013,2.61047458648682,-0.549211859703064,1,-0.675736963748932,2,0.00184727006126195,1
"18",610000,0,50,1,610000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,4,4,4,4,4,4,4,0,0,3,169,120,160,2,1,1,0,0,0,2,2,1,1,1,4,4,3,3,3,3,1,1,8,0,1,0,3,1,1,0.0593129210174084,NA,0.239654049277306,1,0.66414999961853,8,0.00207749591208994,1
"19",450000,0,40,1,450000,0,0,0,1,4,1,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,1,4,3,3,1,1,3,3,1,7,1,2,158,100,158,3,1,1,0,0,0,2,3,1,1,1,4,4,3,3,3,3,2,0,6,0,1,0,1,1,1,-0.30919349193573,-0.922452747821808,-1.22039556503296,1,-0.198245003819466,8,0.00215967278927565,1
"20",420000,0,45,1,420000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,3,1,1,1,1,4,4,2,1,2,NA,NA,1,NA,2,1,1,2,3,4,4,2,5,2,3,2,4,2,3,168,150,168,4,4,1,0,0,20,2,3,0,1,1,4,4,4,4,4,4,1,1,6,0,1,0,1,1,1,0.776581525802612,0.278294265270233,-0.455396622419357,1,0.186658024787903,8,0.00230771792121232,1
"21",420000,1,52,1,420000,1,1,0,1,4,1,4,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,4,1,1,1,4,4,2,NA,1,2,2,1,NA,5,5,2,5,3,5,5,1,4,4,5,5,5,4,3,176,130,175,2,1,1,0,0,0,1,1,1,1,2,4,4,3,3,3,3,1,0,6,1,1,0,4,1,1,0.3218994140625,-0.141549810767174,0.239654049277306,1,1.52404642105103,2,0.00248943059705198,1
"22",450000,0,58,0,450000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,6,3,1,4,1,1,1,3,1,3,148,100,148,5,4,1,1,0,180,2,2,0,0,1,4,3,3,4,4,3,1,0,NA,0,1,1,NA,1,1,NA,-0.922452747821808,0.910837769508362,1,0.666648507118225,8,0.00277908565476537,1
"23",330000,0,56,0,330000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,2,4,4,4,4,3,4,4,4,4,1,NA,4,2,2,5,1,6,6,1,5,4,7,7,7,5,4,161,141,161,1,1,3,0,0,0,1,1,0,0,1,1,2,3,2,3,3,1,1,3,0,1,1,NA,1,1,1.55556154251099,-0.922452747821808,2.39475440979004,1,1.52654492855072,8,0.00280262180604041,1
"24",370000,0,47,0,370000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,4,4,2,2,4,0,0,0,4,3,165,170,165,2,2,2,0,0,0,3,3,0,0,1,4,4,3,3,3,3,2,1,6,0,1,0,1,1,1,NA,0.144271776080132,0.239654049277306,1,0.66414999961853,8,0.00283468561246991,1
"25",370000,1,33,1,370000,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,1,3,5,4,1,4,1,4,2,0,2,3,173,200,175,2,1,1,0,0,0,2,2,1,1,1,1,4,3,2,3,3,1,0,8,0,0,0,4,2,2,-0.660340368747711,1.21099627017975,-1.12658035755157,1,-0.0956620499491692,9,0.00291502056643367,1
"26",210000,0,41,1,370000,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,2,2,1,6,4,4,1,5,4,3,3,9,2,3,168,140,167,2,1,3,0,0,0,2,2,1,1,1,4,4,3,3,3,3,1,0,6,0,1,0,1,1,1,0.314543902873993,0.877564013004303,0.239654049277306,1,-0.958057045936584,8,0.00304477429017425,1
"27",440000,0,41,0,440000,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,4,4,4,1,5,3,6,4,4,2,3,163,96,160,3,1,1,0,0,0,2,3,0,0,1,4,4,4,4,4,4,2,0,8,0,1,0,3,1,1,-2.27386140823364,0.400700747966766,0.934704720973969,1,0.666648507118225,8,0.00318251410499215,1
"28",5e+05,1,63,0,5e+05,0,0,0,1,4,1,4,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,1,5,5,1,4,4,5,6,5,3,2,148,88,146,1,2,1,0,0,0,3,2,0,0,1,1,3,3,4,4,3,2,1,7,0,0,0,NA,1,1,NA,0.567416846752167,0.239654049277306,1,0.184159517288208,8,0.00341322482563555,1
"29",410000,1,59,1,410000,0,0,0,2,4,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,3,3,3,4,2,3,3,3,5,3,175,140,169,2,2,1,0,0,0,2,3,1,0,1,3,2,2,2,3,3,2,0,6,1,0,0,1,1,1,NA,-0.922452747821808,0.239654049277306,1,-1.34046161174774,8,0.00357881165109575,1
"30",440000,0,54,0,440000,0,0,0,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,4,4,2,4,3,5,5,6,5,3,157,130,155,3,2,2,1,0,0,3,3,0,0,1,4,3,3,3,3,3,2,1,6,0,1,0,NA,1,1,-0.950497388839722,-0.922452747821808,0.934704720973969,1,-0.578151047229767,8,0.00363256130367517,1
"31",650000,0,60,0,650000,0,0,0,1,4,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,6,6,2,1,4,2,1,5,2,3,150,80,153,4,2,2,1,0,60,2,2,0,0,2,4,4,3,3,3,3,2,0,6,0,1,1,2,NA,NA,1.23047828674316,1.87994170188904,-0.431529670953751,1,-1.82045197486877,8,0.0039369547739625,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.00422257510945201,1
"33",5e+05,1,36,0,5e+05,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,2,2,3,4,4,4,3,3,3,2,1,2,2,4,1,NA,3,2,2,2,3,6,6,2,2,4,7,7,8,4,3,163,120,161,1,1,1,0,0,0,4,2,0,0,1,1,2,3,3,4,3,2,0,7,0,1,0,3,1,1,0.78997415304184,0.600213468074799,-0.431529670953751,0,-0.478066563606262,8,0.00437540654093027,1
"34",340000,0,53,0,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,1,4,4,2,3,3,6,4,7,3,2,156,120,150,4,2,2,0,0,0,3,3,0,0,1,4,4,3,3,3,3,2,1,6,1,1,0,1,1,1,0.932965755462646,NA,-0.455396622419357,0,0.184159517288208,8,0.004528415389359,1
"35",620000,0,58,0,620000,0,0,0,1,4,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,3,6,5,1,1,2,1,1,1,1,4,150,74,136,5,3,4,1,0,0,2,4,0,0,1,4,3,3,3,3,3,2,1,3,1,1,1,1,1,1,-0.354330599308014,NA,0.934704720973969,0,-0.475568056106567,8,0.00468902382999659,1
"36",620000,0,16,1,620000,0,0,0,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,6,4,5,5,3,4,5,4,7,5,3,174,128,170,4,3,1,1,0,7,2,2,0,0,1,3,3,3,3,3,3,1,1,6,0,1,0,1,2,1,NA,NA,-1.91544628143311,1,-0.85797256231308,2,0.00470678368583322,1
"37",630000,1,42,1,630000,0,0,0,2,2,4,4,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,2,2,4,1,1,1,2,1,NA,NA,NA,NA,NA,1,NA,3,2,2,2,6,5,5,1,2,4,3,3,5,5,3,160,120,160,2,1,3,0,0,0,1,3,1,1,1,4,4,2,3,3,3,2,0,6,0,0,0,3,3,1,0.932965755462646,0.388928681612015,-1.22039556503296,1,-0.578151047229767,2,0.00476672640070319,1
"38",350000,1,62,0,350000,0,0,0,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,5,5,1,5,3,5,4,5,2,3,148,102,148,3,1,1,0,0,0,3,3,0,0,1,4,4,4,4,4,4,1,1,4,0,0,0,1,1,1,-1.13691222667694,-0.922452747821808,0.239654049277306,1,-0.578151047229767,8,0.00495147798210382,1
"39",330000,1,50,1,330000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,4,4,4,NA,NA,NA,NA,1,2,NA,4,1,NA,2,2,3,2,2,4,6,5,4,4,5,5,8,3,2,172,170,168,1,1,1,0,0,0,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,1,1,1,0.478283613920212,-0.332591503858566,2.39475440979004,0,1.14663898944855,2,0.00524670444428921,1
"40",230000,0,56,0,370000,0,0,0,1,4,1,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,6,6,1,3,3,5,5,5,1,2,165,136,160,3,3,1,0,0,2,2,3,0,0,1,4,3,3,2,3,2,1,1,4,0,0,0,NA,1,1,-2.25364637374878,-0.922452747821808,0.239654049277306,1,0.946470022201538,8,0.00525560975074768,1
"41",440000,1,36,1,230000,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,5,1,5,5,1,5,5,0,3,8,0,3,175,160,167,2,1,1,0,0,0,2,1,1,0,1,4,4,4,4,4,4,1,1,7,0,0,1,2,3,2,0.313402235507965,NA,0.239654049277306,1,-0.0981605499982834,5,0.00534026185050607,1
"42",340000,0,63,1,340000,0,0,0,1,4,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,5,5,1,4,4,3,4,4,1,3,162,112,162,2,3,2,0,0,0,2,2,1,1,2,4,4,3,3,3,4,1,1,4,0,1,0,NA,1,1,-0.362827777862549,-0.922452747821808,0.239654049277306,1,1.0465544462204,8,0.00539635214954615,1
"43",520000,1,35,0,520000,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,3,3,5,1,1,1,5,1,2,150,90,150,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,1,8,1,0,0,1,1,1,-0.397753864526749,-0.922452747821808,0.239654049277306,0,0.281745463609695,1,0.00547655997797847,1
"44",410000,1,35,0,410000,0,0,0,1,4,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,99999,0,1,1,1,0,0,1,1,2,2,2,3,1,2,2,4,2,2,2,2,2,2,1,NA,3,2,2,3,3,4,5,4,4,3,2,2,3,5,3,163,130,161,1,1,3,0,0,0,3,3,0,0,1,2,2,4,3,3,3,2,0,7,0,0,0,4,3,3,0.274302244186401,2.15851235389709,0.239654049277306,0,-0.578151047229767,8,0.00548763433471322,1
"45",370000,0,59,0,370000,0,0,0,5,4,5,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,5,6,1,5,4,1,1,4,2,3,155,97,152,4,1,1,0,0,0,1,2,0,1,1,4,4,4,4,4,4,1,1,4,0,1,1,1,1,1,-2.25364637374878,-0.922452747821808,0.239654049277306,1,-0.193247988820076,8,0.005559126380831,1
"46",510000,0,18,1,510000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,6,5,5,2,3,4,4,4,4,3,3,175,110,175,2,1,2,0,0,0,3,3,0,0,1,4,4,4,4,4,4,2,1,7,0,0,0,2,2,1,NA,-0.100385122001171,0.239654049277306,1,-0.578151047229767,2,0.00575448526069522,1
"47",370000,0,46,0,320000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,5,1,1,5,3,7,8,8,2,3,158,140,150,3,1,3,1,0,0,2,2,0,0,1,4,3,2,2,3,2,1,1,6,0,1,0,NA,1,1,-2.25364637374878,NA,0.239654049277306,1,1.90645098686218,1,0.00582575192674994,1
"48",210000,0,54,1,210000,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,3,1,1,3,3,4,1,6,1,2,175,130,170,3,2,2,1,0,0,2,2,1,0,1,4,4,4,4,4,4,1,1,9,0,1,0,1,1,1,0.607882559299469,-0.221854105591774,-1.91544628143311,0,-0.478066563606262,8,0.00588881550356746,1
