"","PROVINCE","urban","age","gender","I1_3_1","party","army","sec_lan","f_b_hukou","f_n_hukou","m_b_hukou","m_n_hukou","b_hukou","n_hukou","local_hukou","migrant_hukou","cungaiju","u_w_m","u_c_m","r_m","p_m","uint_add_m","br_m","bus_m","I1_20_1","I1_20_2","n_r_o_i","I1_20_4","I1_20_5","I1_21","I1_22_1","I1_22_2","I1_22_3","tech_edu","I2_10","work_exp","I3a1_1","I3a1_2","I3a1_5","I3a1_9","I3a1_14","I3a1_16_1","I3a1_16_2","I3a1_16_3","I3a1_19_1","I3a1_19_2","I3a1_19_3","I3a1_20_1","I3a1_20_2","I3a1_20_3","I3a1_20_4","I3a1_20_5","I3a1_20_7","I3a1_20_8","I3a1_20_9","I3a1_21","I3a2_1","friend","psychofriend","discussfriend","moneyfriend","memberelect","happy","happycp","I7_7_1","I7_7_2","I7_9","soccls","b_soccls","I7_10_3_1","t_soccls","soctrs","I9_1","I9_2","arm","health","I9_5","I9_6","ill","I9_8","I9_9","I9_10","I9_11","I9_12","I9_14","interviewway","reject","impat","itviewer_trust","fudge","colla","rely","lang","sinitviewer","look","sinitviewee","rtype_u","belief","edu","fedu","medu","jobmean","dinner","socresp","localsc","comlk","plan","u","d"
"5906",620000,0,32,0,620000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,5,3,1,3,4,4,4,6,2,3,153,100,153,3,3,1,1,0,NA,3,3,0,0,1,4,4,4,4,4,4,1,1,6,0,1,0,NA,1,1,1.24387097358704,-0.723042964935303,0.239654049277306,1,-0.198245003819466,2,0.710915148258209,1
"5907",630000,1,39,1,630000,0,0,1,1,2,1,2,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,2,4,4,2,1,2,1,3,1,2,NA,1,1,NA,2,2,2,2,6,3,3,3,4,4,3,2,5,1,3,175,150,175,1,1,2,0,0,5,2,3,0,0,1,4,4,3,1,3,3,1,0,6,1,0,0,4,1,1,-0.118604756891727,1.80085754394531,-0.431529670953751,1,-0.575652539730072,2,0.711011707782745,1
"5908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.71117115020752,1
"5909",140000,0,49,1,140000,0,0,0,2,4,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,6,5,1,4,2,1,1,1,5,3,175,160,172,5,4,3,1,0,NA,1,3,1,0,1,4,4,3,4,4,3,1,1,5,1,1,0,2,1,1,0.78997415304184,0.144271776080132,0.239654049277306,0,0.186658024787903,8,0.711268603801727,1
"5910",440000,0,16,1,440000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,6,5,3,1,4,4,4,5,8,5,2,170,100,161,3,1,1,0,0,2,3,3,0,0,1,4,4,4,4,4,4,2,1,7,0,1,0,NA,1,2,NA,-0.922452747821808,1.02851998806,1,0.186658024787903,2,0.711302638053894,1
"5911",320000,0,57,1,320000,0,0,0,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,4,4,1,4,4,5,3,6,2,2,175,130,165,3,3,1,0,0,0,3,3,1,1,1,4,4,3,3,3,3,1,0,3,0,0,0,2,1,1,-0.397753864526749,-0.755736589431763,-1.91544628143311,1,-0.958057045936584,2,0.711395442485809,1
"5912",350000,0,33,0,350000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99999,0,99999,0,0,1,1,1,0,0,0,2,1,1,2,2,3,1,1,1,NA,NA,NA,NA,NA,1,NA,2,2,2,2,1,1,1,3,1,3,4,3,5,1,3,156,83,156,2,2,2,0,0,0,2,2,0,0,1,4,4,3,3,3,3,1,1,NA,1,1,0,2,1,1,-0.972030878067017,-0.922452747821808,0.239654049277306,1,-0.193247988820076,8,0.711521804332733,1
"5913",440000,1,34,0,360000,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,6,6,5,3,3,4,3,4,6,6,3,155,86,155,2,1,1,1,0,0,2,2,0,0,1,4,4,4,4,4,4,1,0,8,0,0,0,2,2,1,0.824900269508362,NA,0.239654049277306,0,1.42646050453186,8,0.711731612682343,1
"5914",310000,1,64,0,420000,0,0,0,2,2,2,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,4,4,5,5,5,6,6,6,5,3,158,112,158,3,2,2,0,0,0,2,3,0,0,1,4,4,4,4,4,4,1,1,8,0,0,0,3,1,1,2.52627182006836,-0.922452747821808,-0.525344908237457,1,-0.578151047229767,8,0.711967527866364,1
"5915",450000,0,47,1,450000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,1,3,2,2,2,2,2,3,3,0,NA,5,5,5,3,1,3,3,3,3,4,5,5,6,3,3,163,110,163,2,1,1,0,0,20,2,3,0,0,1,4,4,4,4,4,4,1,1,6,0,0,0,1,1,1,2.22875928878784,1.21099627017975,-2.58662986755371,1,1.42646050453186,8,0.711993515491486,1
